last_name, first_name,year,b_ab,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Collins, Tyler,2016,136,4,.235,.224,.374,.296,.296,.150,90.1,16,
Rua, Ryan,2016,240,8,.258,.233,.360,.296,.309,.128,90.5,10,
Pillar, Kevin,2016,548,7,.266,.261,.366,.297,.300,.105,87.1,11.5,
Williamson, Mac,2016,112,6,.223,.228,.423,.327,.320,.195,91.4,7.8,
Rivera, T.J.,2016,105,3,.333,.274,.370,.295,.297,.096,85.8,13.2,
Ramirez, Jose,2016,565,11,.312,.294,.426,.342,.349,.132,88.4,13.2,
Bregman, Alex,2016,201,8,.264,.246,.411,.310,.299,.165,88.1,18.5,
Russell, Addison,2016,525,21,.238,.239,.421,.323,.323,.182,87.6,15.2,
Seager, Corey,2016,627,26,.308,.308,.528,.385,.367,.220,91,10.3,
Mazara, Nomar,2016,516,20,.266,.266,.433,.334,.325,.167,88,8.4,
Jankowski, Travis,2016,335,2,.245,.243,.302,.297,.335,.059,86.2,0.8,
Plawecki, Kevin,2016,132,1,.197,.173,.236,.241,.278,.064,84.9,3.7,
Refsnyder, Rob,2016,152,0,.250,.270,.350,.315,.349,.079,88.9,4.3,
Mondesi, Adalberto,2016,135,2,.185,.185,.292,.235,.234,.107,89.3,10.4,
Garcia, Adonis,2016,532,14,.273,.281,.426,.326,.320,.145,89,7.9,
Swanson, Dansby,2016,129,3,.302,.256,.399,.308,.324,.144,89,8.8,
Correa, Carlos,2016,577,20,.274,.289,.486,.374,.376,.196,91,6.9,
Dahl, David,2016,222,7,.315,.251,.392,.304,.299,.141,87.8,10.8,
Buxton, Byron,2016,298,10,.225,.195,.317,.260,.262,.122,89.5,17.3,
Wendle, Joey,2016,96,1,.260,.277,.361,.308,.321,.084,91,5.4,
Duffy, Matt,2016,333,5,.258,.270,.397,.320,.324,.127,87.3,7.5,
Maxwell, Bruce,2016,92,1,.283,.276,.425,.330,.331,.149,91.2,4,
Brown, Trevor,2016,173,5,.237,.211,.296,.251,.258,.085,84,14.6,
Conforto, Michael,2016,304,12,.220,.234,.433,.329,.324,.199,90.1,15.1,
Frazier, Adam,2016,146,2,.301,.290,.388,.330,.350,.098,85.6,9.5,
Puig, Yasiel,2016,334,11,.263,.249,.396,.314,.312,.147,90.3,11.6,
Soler, Jorge,2016,227,12,.238,.226,.424,.329,.325,.198,89.9,17.6,
Heredia, Guillermo,2016,92,1,.250,.256,.325,.318,.357,.069,83.2,11.1,
Kang, Jung Ho,2016,318,21,.255,.253,.487,.367,.357,.234,90.2,11,
Tomas, Yasmany,2016,530,31,.272,.276,.493,.348,.318,.217,90.6,9.9,
Anderson, Tim,2016,410,9,.283,.262,.400,.301,.287,.138,87.9,6.7,
Benintendi, Andrew,2016,105,2,.295,.239,.379,.305,.310,.140,87,14.1,
Kemp, Tony,2016,120,1,.217,.215,.295,.273,.300,.080,84.9,11.1,
White, Tyler,2016,249,8,.217,.220,.375,.293,.291,.155,88.1,14.9,
Diaz, Aledmys,2016,404,17,.300,.271,.431,.339,.348,.160,89.5,12.6,
Park, ByungHo,2016,215,12,.191,.231,.508,.349,.312,.278,88.6,14.3,
