last_name, first_name,year,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Pollock, AJ,2019,15,0.266,0.268,0.467,0.343,0.332,0.200,90.6,13.7,
Rickard, Joey,2019,3,0.226,0.215,0.323,0.279,0.302,0.109,84.8,17.2,
Seager, Kyle,2019,23,0.239,0.264,0.494,0.355,0.344,0.229,89.4,18.6,
Voit, Luke,2019,21,0.263,0.249,0.496,0.367,0.368,0.247,89.7,12.5,
Walker, Christian,2019,29,0.259,0.266,0.522,0.367,0.355,0.256,91.1,14.8,
Zunino, Mike,2019,9,0.165,0.195,0.382,0.275,0.259,0.187,88.4,19.2,
Goins, Ryan,2019,2,0.250,0.206,0.300,0.268,0.295,0.095,87.4,7.8,
Carpenter, Matt,2019,15,0.226,0.224,0.418,0.330,0.337,0.194,88,19,
Dickerson, Corey,2019,12,0.304,0.272,0.489,0.332,0.313,0.218,87.1,16.2,
Dozier, Brian,2019,20,0.238,0.239,0.436,0.336,0.342,0.197,88.5,18.9,
Garneau, Dustin,2019,3,0.244,0.207,0.345,0.299,0.318,0.138,84.5,20.7,
Yastrzemski, Mike,2019,21,0.272,0.259,0.520,0.351,0.323,0.261,89.6,19.3,
Contreras, Willson,2019,24,0.272,0.248,0.481,0.347,0.335,0.233,88.5,7.5,
Gyorko, Jedd,2019,2,0.174,0.212,0.350,0.277,0.282,0.138,85.8,16.3,
Iglesias, Jose,2019,11,0.288,0.271,0.376,0.296,0.304,0.104,84.2,6.9,
Hechavarria, Adeiny,2019,9,0.241,0.235,0.412,0.306,0.295,0.177,87.7,11.6,
Osuna, Jose,2019,10,0.264,0.270,0.446,0.331,0.319,0.176,89.2,9.6,
Austin, Tyler,2019,9,0.188,0.197,0.453,0.320,0.305,0.256,91.5,14.8,
Bryant, Kris,2019,31,0.282,0.251,0.469,0.354,0.356,0.218,87.5,19.1,
Canha, Mark,2019,26,0.273,0.250,0.478,0.369,0.378,0.229,89.1,15.1,
Casali, Curt,2019,8,0.251,0.236,0.399,0.312,0.320,0.163,87.2,19,
